,country,description,designation,points,price,province,region_1,region_2,variety,winery,Red?,Wine_Bins
324,Italy,"Nebbiolo grapes, with their naturally elegant aromas of black currant and licorice, speak loudly. So does winery magic: Tones of spice, leather, cola and tobacco are derived from 24 months of careful oak aging. The tannins are fine and tight and this wine will age ten years or more.",Bricco Rocche Bricco Rocche,95,252.0,Piedmont,Barolo,Barolo,Nebbiolo,Ceretto,True,Iconic: Over $50
338,US,"So good, so rich, so stunning, it's just a joy to drink even now in its youth. Defines the Heidi Barrett style of big, ripe, exuberant fruit and a classic structure, enhanced in this case by the firm tannins and fine acids of Atlas Peak. Explosive in blackberry and cherry pie filling and cassis flavors, with a distinct mineral tang that must come from the volcanic soils. Contains 2% Petit Verdot. Superbly enjoyable, but as a brand new wine, its future is only a guess. Drink now–2014?",*Unknown Wine*,97,250.0,California,Atlas Peak,Napa,Cabernet Sauvignon,Au Sommet,True,Iconic: Over $50
336,France,"This wine is all about power, from the dark and intense black fruits through to the rich, sweet tannins. It shows the concentration of 2005 in its ripeness and concentrated, delicious fruits. An impressively dense wine.",*Unknown Wine*,93,250.0,Burgundy,Echézeaux,Echézeaux,Pinot Noir,Louis Latour,True,Iconic: Over $50
337,US,"This wine is quite opulent, and brimming with flavors of new oak, black currants, blueberries and dark chocolate. While the tannins are thick, they're soft enough to drink now.",Heritage Single Vineyard,92,250.0,California,Napa Valley,Napa,Cabernet Sauvignon,Guarachi Family,True,Iconic: Over $50
334,US,"Shows the Bacchus profile of ripe blackberry and cassis fruit, pure, strong tannins and exceptional balance. It's a dry, classically structured Cabernet of enormous complexity and interest. So delicious now, it's tempting to drink, but it's way too young. This is a wine to cellar, and it should blossom over the next 20 years.",Backus Vineyard,95,250.0,California,Oakville,Napa,Cabernet Sauvignon,Joseph Phelps,True,Iconic: Over $50
339,US,"A small-production, estate-grown wine, it conveys a richness of berry cobbler, supported by a tension of deep, dark chocolate. Tobacco and tea add to the complexity and leather-bound-chair feel of things, with structured, large-sized tannins adding strength before the finish lands softly.",Double Plus,93,250.0,California,Rutherford,Napa,Cabernet Sauvignon,Hewitt,True,Iconic: Over $50
340,Germany,"Words hardly do this wine justice. It's unctuous almost beyond the point of being wine—offering a mèlange of dried fruits and honey that ooze over every taste bud, filling the pores of your mouth and then releasing sugar and flavor for minutes afterward. And the aromas aren't too shabby either, giving up intense scents of dried apricots and orange marmalade, tinged with tea-like notes that add a sense of lightness and complexity.",Kanzem Altenberg Eiswein First Growth,97,250.0,Mosel-Saar-Ruwer,Mosel-Saar-Ruwer,Mosel-Saar-Ruwer,Riesling,Von Othegraven,False,Iconic: Over $50
341,France,"Tasted from a magnum disgorged in '97, this provides ample evidence that '85 was a great year for Clicquot. Toasty, but seems less evolved than the '85 Brut, with a deep copper color, meaty, savory aromas, berry flavors and a full, creamy texture. Long on the finish. It's made from the same base as the '85 Brut, but with 14.5% red from Bouzy added.",Brut Rosé,93,250.0,Champagne,Champagne,Champagne,Champagne Blend,Veuve Clicquot Ponsardin,False,Iconic: Over $50
335,US,"Like Colgin's great Herb Lamb Cabernet, this is 100% varietal, 100% new oak. It's a unique, different sort of Cab, opening with an iodine, Islay Scotch, sea-salt scent that turns surprisingly rich and fruity in the mouth, sweet in chocolate and extraordinarily ripe black currants. This very young wine needs time to show its best. Drink 2009–2015.",Tychson Hill Vineyard,93,250.0,California,Napa Valley,Napa,Cabernet Sauvignon,Colgin,True,Iconic: Over $50
327,France,"If not the best, then one of the best kosher wines we've ever tasted, with smoke, cedar and meat aromas nicely balanced by plummy, chocolaty fruit. A creamy mouthfeel and smooth, easy finish makes it a delight to drink, but consume this Merlot-based wine over the near term. Imported by Royal Wine Corporation.",Kosher,90,250.0,Bordeaux,Saint-Émilion,Saint-Émilion,Bordeaux-style Red Blend,Château Valandraud,True,Iconic: Over $50
333,Argentina,"Still the most impressive Pinot in Argentina, the #32 car is showing a purple color and lots of young oak, menthol and leather on the nose. The palate is lush, deep and cushioned, while the flavors are youthful but revolve around black cherry and ripe plum. A toasty, dark, modern wine with a lovely, silky, pure texture. Best from 2012–2016.",Treinta y Dos,92,250.0,Other,Río Negro Valley,Río Negro Valley,Pinot Noir,Bodega Chacra,True,Iconic: Over $50
332,France,This is a powerfully structured wine from a 18-acre property on the plateau of Pomerol. Rich Merlot dominates and gives the wine both its alcohol and its intense tannins and juicy red fruits. The wine is dense with the potential for aging over a considerable time. Drink from 2025.,*Unknown Wine*,95,250.0,Bordeaux,Pomerol,Pomerol,Bordeaux-style Red Blend,Château Trotanoy,True,Iconic: Over $50
331,France,"A seductive wine, deliciously ripe with the softest, juiciest fruit over smoky new wood. The wine shows intense fruit as well as a soft Merlot core. The tannins are beautifully integrated in this ripely sweet wine.",*Unknown Wine*,95,250.0,Bordeaux,Pauillac,Pauillac,Bordeaux-style Red Blend,Château Pichon Longueville Comtesse de Lalande,True,Iconic: Over $50
330,Italy,"An iconic wine from the 2001 vintage, this shows tertiary aromas of dried fruit, cassis, ginger, cola and licorice. But the wine really excels on the palate where it shows the magic intensity of aged Nebbiolo grapes with long, silky tannins.",Vigna Rionda Riserva Dieci Anni,95,250.0,Piedmont,Barolo,Barolo,Nebbiolo,Massolino,True,Iconic: Over $50
329,France,"Wonderfully aromatic and complex, blending floral notes with mineral scents, bold cassis fruit and cracked pepper. This is full-bodied and muscular on the palate, the only one of Chapoutier's 2004s that really demands cellaring. Drink 2010–2020.",L'Ermite,95,250.0,Rhône Valley,Hermitage,Hermitage,Syrah,M. Chapoutier,True,Iconic: Over $50
328,Italy,"This is an expertly crafted Merlot that offers much in terms of intensity, charm and personality. You could drink it with a fork and knife because its concentration is dark, plush and extracted with care. Pristine aromas of flower petal, red fruit, molasses and spice are rounded off by an outstanding mouthfeel consisting of extraordinary length and polished tannins.",Messorio,94,250.0,Tuscany,Bolgheri,Bolgheri,Merlot,Le Macchiole,True,Iconic: Over $50
326,Spain,"Make room in the cellar for this heavyweight! Talk about a monster wine; but there's also finesse, character and style to it. Alabaster is the top wine from the Eguren family's new Toro winery, and it's big, tannic and loaded with spice, molasses and syrupy black fruit flavors. Rich, long and fierce on the finish, with tannins and heat to resolve. Best from 2012 through 2020.",Alabaster,94,250.0,Northern Spain,Toro,Toro,Tinta de Toro,Teso La Monja,True,Iconic: Over $50
325,Italy,"Even better than the highly acclaimed 2001 vintage, this Merlot from a tiny, clay soil vineyard in Bolgheri is just about everything you've ever dreamed of tasting. Gorgeous, generous, voluptuous, cheerful, succulent and intense: Masseto is all those things. The aromas are seamless and capture the essence of chocolate fudge, sweet cherry, blackberry, spice and vanilla. It boasts thick, dense extraction, excellent structure and amazing persistence.",Masseto,99,250.0,Tuscany,Toscana,Toscana,Merlot,Tenuta dell'Ornellaia,True,Iconic: Over $50
342,France,"This is a lightweight Cristal, floating and fresh, without the punch this great wine can have from Pinot Noir. It is also way too young. To taste, there is good balance, but the persistent grapefruit flavor shows the wine's youth.",Cristal Brut,92,211.0,Champagne,Champagne,Champagne,Champagne Blend,Louis Roederer,False,Iconic: Over $50
344,France,"From organic vineyards, this wine shows rich fruit and generous red berry flavors. There is ripe sweetness as well, with soft tannins from the fruit. At this stage, the toast element from the wood is too dominant, but this should soften over the next 3–4 years.",Les Baudes Premier Cru,90,210.0,Burgundy,Chambolle-Musigny,Chambolle-Musigny,Pinot Noir,Sérafin Père et Fils,True,Iconic: Over $50
343,Italy,"Thick as molasses and dark as caramelized brown sugar, the wine oozes out of the bottle releasing concentrated aromas of butterscotch, toffee, honey, licorice, coffee, resin and maple syrup. Grapes from the Montepulciano area are dried in a ventilated room and the wine ages over 10 years in tiny oak barrels resulting in thick, dark concentration. Don't pair it with food: Vin Santo as good as this deserves to be enjoyed alone, as a so-called “meditation wine.”",Occhio di Pernice,100,210.0,Tuscany,Vin Santo di Montepulciano,Vin Santo di Montepulciano,Prugnolo Gentile,Avignonesi,True,Iconic: Over $50
345,Spain,"Plant-by-plant fruit selection leads to intensity, concentration and structure. Aro shows gripping tannins and juicy acidity, and overall it reeks of power and precision. At this young stage it seems like it could last forever. In reality, it should be just right in about seven years. Imported by Tempranillo, Inc.",Aro,94,194.0,Northern Spain,Rioja,Rioja,Tempranillo,Muga,True,Iconic: Over $50
346,Italy,"The best Sassicaia of the last 10 years, the 2004 vintage is an outstanding achievement. Cabernet Sauvignon and Cabernet Franc highlight the beauty of Tuscany and portray the region in terms of thick chocolate fudge, succulent cherry and currant, exotic spice and vanilla seed. Beyond those big aromas are little teasers: blue flowers, Mediterranean herbs, cola and light mineral shadings. It's lush and full in the mouth and will hold 20 or 30 years.",Sassicaia,97,190.0,Tuscany,Bolgheri Sassicaia,Bolgheri Sassicaia,Red Blend,Tenuta San Guido,True,Iconic: Over $50
347,France,"Still young, this is a wine that needs to open and ripen. But already there are signs of richness, a wood- and tropical fruit-flavored wine that is typical of the full character of a Corton Charlemagne. It would be worth keeping 2–3 years for the wood to soften, the fruit to round out.",*Unknown Wine*,93,189.0,Burgundy,Corton-Charlemagne,Corton-Charlemagne,Chardonnay,Bertrand Ambroise,False,Iconic: Over $50
348,Italy,"It's almost criminal to taste Sassicaia before its prime. The 2003 vintage should be ready after 2010. A blend of 85% Cab Sauvignon and 15% Cab Franc that aged 24 months in barrique, notes of cassis, exotic spice, menthol and green olive come through despite the hot vintage. It's powerful in the mouth with crispness and refined tannins.",Sassicaia,91,180.0,Tuscany,Bolgheri,Bolgheri,Cabernet Sauvignon,Tenuta San Guido,True,Iconic: Over $50
349,Italy,"This landmark wine (85% Cabernet Sauvignon and 15% Cabernet Franc) shows herbal notes of chopped mint, wild berry, licorice, bramble and forest floor. Tasted young, Sassicaia never has the same impact it will 10 or 15 years from now when all those luscious aromas become more penetrating and warm. Built to age, the wine boasts drying tannins, good acidity and firm structure.",Sassicaia,94,180.0,Tuscany,Bolgheri Sassicaia,Bolgheri Sassicaia,Red Blend,Tenuta San Guido,True,Iconic: Over $50
350,Italy,"The 2004 Solaia is dense and concentrated with loads of character and defining aromatics: plump blackberry, chocolate fudge, exotic spice, peppercorn and smooth balsam notes. The real pleasure comes in the mouth where it delivers smooth elegance and an extra long finish.",Solaia,96,170.0,Tuscany,Toscana,Toscana,Red Blend,Marchesi Antinori,True,Iconic: Over $50
